,A&R Price,Authors,Format,Page,RRP,Savings,Title
0,$84.15,Led Zeppelin,Hardback,1,$99.0,14.849999999999994,Led Zeppelin by Led Zeppelin
1,$39.05,Adam Horovitz and Michael Diamond,Hardback,1,$49.99,10.940000000000005,Beastie Boys Book
2,$68.84,Grace Coddington,Paperback,1,$95.0,26.159999999999997,Grace
3,$24.18,Richard Glover,Paperback,1,$29.99,5.809999999999999,The Land Before Avocado
4,$42.46,Elena Favilli and Francesca Cavallo,Hardback,1,$49.95,7.490000000000002,Good Night Stories for Rebel Girls 2
5,$39.05,Michelle Obama,Hardback,1,$49.99,10.940000000000005,Becoming
6,$29.75,Ben Brooks,Hardback,1,$35.0,5.25,Stories for Boys Who Dare to be Different
7,$31.25,Grantlee Kieza,Hardback,1,$39.99,8.740000000000002,Banjo
8,$25.78,Caroline Baum,Paperback,1,$32.99,7.210000000000001,Only
9,$24.18,Jan Golembiewski,Paperback,1,$29.99,5.809999999999999,Magic
10,$27.35,Jimmy Barnes,Hardback,1,$45.0,17.65,Working Class Boy
11,$42.49,Julia Gillard,Hardback,1,$49.99,7.5,My Story
12,$35.17,Reese Witherspoon,Hardback,1,$45.0,9.829999999999998,Whiskey in a Teacup
13,$19.54,Saroo Brierley,Paperback,1,$22.99,3.4499999999999993,Lion
14,$29.74,Kirsten Drysdale,Paperback,1,$34.99,5.2500000000000036,I Built No Schools in Kenya
15,$23.79,Lilly Singh,,1,$27.99,4.199999999999999,How to be a Bawse
16,$55.74,Lesley Harding and Kendrah Morgan,Hardback,1,$115.4,59.660000000000004,Mirka & Georges
17,$16.65,Tom Bissell and Greg Sestero,Paperback,1,$19.99,3.34,The Disaster Artist
18,$24.18,Elyse Knowles,Paperback,1,$29.99,5.809999999999999,From Me to You
19,$57.97,Peter Burness,Hardback,1,$79.99,22.019999999999996,The Western Front Diaries of Charles Bean
20,$35.15,Antonia Felix,Hardback,1,$44.99,9.840000000000003,The Unstoppable Ruth Bader Ginsburg
21,$39.05,Justin Timberlake,Hardback,1,$49.99,10.940000000000005,Hindsight
22,$16.67,Ros Barber,Paperback,1,$19.99,3.3199999999999967,30-Second Shakespeare
23,$31.99,Anne Summers,Hardback,1,$39.99,8.000000000000004,Unfettered and Alive
24,$29.74,Louise Milligan,Paperback,1,$34.99,5.2500000000000036,Cardinal
25,$21.24,Helen Garner,Paperback,1,$24.99,3.75,Joe Cinque's Consolation
26,$19.54,Leanda de Lisle,Paperback,1,$22.99,3.4499999999999993,White King
27,$16.99,John E. Douglas and Mark Olshaker,Paperback,1,$19.99,3.0,Mindhunter
28,$19.54,Michael Veitch,Paperback,1,$22.99,3.4499999999999993,Barney Greatrex
29,$25.49,Whitney Scharer,Paperback,1,$29.99,4.5,The Age of Light
30,$19.54,Landis Blair and Caitlin Doughty,Paperback,1,$22.99,3.4499999999999993,From Here To Eternity
31,$38.24,Harvey Kubernik and Kenneth Kubernik,Hardback,1,$44.99,6.75,The Story of The Band
32,$38.48,Alec Nevala-Lee,Hardback,1,$59.99,21.510000000000005,Astounding
33,$29.75,Gretchen Rubin,Paperback,1,,,The Happiness Project
34,$58.58,Raghu Rai and Jane Perkins,Hardback,1,$65.0,6.420000000000002,His Holiness
35,$38.24,"Shannon Monroe Ashton, Twila Bird, Kristi Libutti Burton, Christophe Mortier, Nathanael Read, Lindsay Allen Silsby, Elizabeth Benson Thayer and Their Story Is Our Story",Hardback,1,$44.99,6.75,Let Me Tell You My Story
36,$25.49,Jane Carswell,Paperback,1,$29.99,4.5,Talk of Treasure
37,$33.99,Ella Risbridger and Elisa Cunningham,Hardback,1,$39.99,6.0,Midnight Chicken
38,$19.54,Johann Hari,Paperback,1,$22.99,3.4499999999999993,Lost Connections
39,$28.04,Chelsea Bonner,Paperback,1,$32.99,4.950000000000003,Body Image Warrior
40,$16.99,Demet Divaroren and Amra Pajalic,Paperback,1,$19.99,3.0,Growing Up Muslim in Australia
41,$21.24,Paul Kelly,Paperback,1,$24.99,3.75,How To Make Gravy
42,$35.15,Rod Marsh,Hardback,1,$45.0,9.850000000000001,Rod Marsh
43,$16.99,Kay Woodward,Hardback,1,$19.99,3.0,"Stand Up, Stand Out!"
44,$16.14,Helen Walmsley-Johnson,Paperback,1,$18.99,2.849999999999998,Look What You Made Me Do
45,$36.83,Lucinda Hawksley,Hardback,1,$44.99,8.160000000000004,Elizabeth Revealed
46,$20.15,Sam Maggs and Jenn Woodall,Hardback,1,$24.99,4.84,Girl Squads
47,$59.49,Andrew Roberts,Hardback,1,$69.99,10.499999999999993,Churchill
48,$36.22,Patrick Leigh Fermor and Adam Sisman,Hardback,2,$52.4,16.18,More Dashing
49,$39.05,Marian Somes,Hardback,2,$49.99,10.940000000000005,Picardy
50,$19.54,Samantha Irby,Paperback,2,$22.99,3.4499999999999993,We Are Never Meeting in Real Life
51,$51.17,Patti Smith,Hardback,2,$79.99,28.819999999999993,Just Kids Illustrated Edition
52,$16.65,David Grann,Paperback,2,$19.99,3.34,The Old Man and the Gun
53,$24.18,Maria Hummel,Paperback,2,$29.99,5.809999999999999,Still Lives
54,$19.16,Laura Thompson,Paperback,2,$22.99,3.8299999999999983,Rex V Edith Thompson
55,$33.99,Riad Sattouf,Paperback,2,$39.99,6.0,The Arab of the Future
56,$20.15,Garrard Conley,Paperback,2,$24.99,4.84,Boy Erased
57,$28.04,Richard MacLean Smith,Paperback,2,$32.99,4.950000000000003,Unexplained
58,$71.74,Alannah Hill,Multiple copy pack,2,$99.0,27.260000000000005,Butterfly on a Pin
59,$25.78,Matt Stone,Hardback,2,$32.99,7.210000000000001,Hot Rod Empire
60,$35.15,Michael Scott and Motorbooks Staff,Hardback,2,$45.0,9.850000000000001,Valentino Rossi
61,$47.09,John Lennon and Yoko Ono Lennon,Hardback,2,$65.0,17.909999999999997,Imagine John Yoko
62,$19.16,Ta-Nehisi Coates,Paperback,2,$22.99,3.8299999999999983,We Were Eight Years in Power
63,$36.40,Matt Evertit,Hardback,2,,,The First Time
64,$31.25,Kevin Lynch,Hardback,2,$39.99,8.740000000000002,Steve Jobs
65,$28.12,Tiffany Haddish,Hardback,2,$35.99,7.870000000000001,The Last Black Unicorn
66,$17.58,James Hansen,Paperback,2,$22.99,5.41,First Man
67,$15.33, ,Calendar,2,$29.99,14.659999999999998,Prince Harry & Meghan Markle Commemorative 2019 Royal Wedding Calendar
68,$27.35,Dina Torkia,Hardcover ,2,$35.0,7.649999999999999,Modestly
69,$39.86,Kate Spade,Hardback,2,$55.0,15.14,She
70,$21.75,Paul Blow and Rob Kemp,Hardback,2,$26.99,5.239999999999998,The Good Guys
71,$24.18,Blair Imani and Monique Le Boul,Hardback,2,$29.99,5.809999999999999,Modern Herstory
72,$51.00,Sean Wilentz,Hardback,2,$60.0,9.0,Fred W. McDarrah: New York Scenes
73,$38.22,Hector Jaimes and Frida Kahlo,Hardback,2,$45.0,6.780000000000001,You are Always With Me
74,$39.03,Steve McCurry,Paperback,2,$49.95,10.920000000000002,Steve McCurry Untold: The Stories Behind the Photographs
75,$23.87,Phil Carradice,Paperback,2,$34.99,11.120000000000001,Bloody Mary
76,$43.47,Olivier Widmaier Picasso,Hardback,2,$60.0,16.53,Picasso: An Intimate Portrait
77,$21.24,Roberto M. Dainotto,Paperback,2,$24.99,3.75,The Mafia
78,$16.99,James Bowen,Paperback,2,$19.99,3.0,A Street Cat Named Bob
79,$22.59,Mandy Nolan and Ellen Briggs,Paperback,2,$27.99,5.399999999999999,Women Like Us
80,$19.16,Anthony Sadler,Paperback,2,$22.99,3.8299999999999983,The 15:17 to Paris
81,$27.35,Nancy Princenthal,Paperback,2,$35.25,7.899999999999999,Agnes Martin
82,$29.68,Ann Shen,Hardback,2,$37.99,8.310000000000002,Bad Girls Throughout History
83,$20.88,Jerry Roberts,Paperback,2,$27.99,7.109999999999999,Lorenz
84,$24.18,Steve Wide and Alice Oehr,Hardback,2,$29.99,5.809999999999999,Warhol A to Z
85,$28.43,Mia Freedman,Paperback,2,$34.99,6.560000000000002,Work Strife Balance
86,$31.21,Ian Fraser,Paperback,2,$39.95,8.740000000000002,Birds in Their Habitats
87,$120.78,Chloe Malle and Hamish Bowles,Hardback,2,$160.0,39.22,Vogue Living
88,$72.70,Neal Preston,Hardback,2,$115.0,42.3,Neal Preston
89,$45.96,Nancy Koehn,Hardback,2,$70.0,24.04,Forged In Crisis
90,$24.18,Mackenzi Lee and Petra Eriksson,Hardback,2,$29.99,5.809999999999999,Bygone Badass Broads
91,$25.78,Libby Jackson,Hardback,2,$32.99,7.210000000000001,A Galaxy of Her Own
92,$46.74,Lyudmila Trut and Lee Alan Dugatkin,Hardback,2,$54.99,8.25,How to Tame a Fox (and Build a Dog)
93,$16.67,Jeff Bauman,Paperback,2,$19.99,3.3199999999999967,Stronger: Fighting Back After the Boston Marathon Bombing
94,$21.24," Bryce Courtenay, Courtenay Bryce and Bryce Courtenay",Hardback,2,$24.99,3.75,"The Silver Moon: Reflections on life, death and writing"
95,$21.77,Kirsten Amann and Misty Kalkofen,Hardback,2,$26.99,5.219999999999999,Drinking Like Ladies
96,$27.35,Alec Baldwin and Kurt Andersen,Paperback,3,$34.99,7.640000000000001,You Can't Spell America Without Me
97,$97.75,Diane Arbus and John P. Jacob,Hardback,3,$115.0,17.25,Diane Arbus
98,$19.16,Fredrik Colting and Melissa Medina,Hardback,3,$22.99,3.8299999999999983,What I Can Learn From The Incredible And Fantastic Life of Steve Jobs
99,$31.25,Kate Hodges and Sarah Papworth,Hardback,3,$39.99,8.740000000000002,I Know a Woman
100,$42.49,Tom Rasmussen,Hardback,3,$49.99,7.5,McQueen
101,$27.35,"Jonathan Hill, Jake Black and Dean Miller",Hardback,3,$35.0,7.649999999999999,WWE RAW The First 25 Years
102,$54.35,Christopher Olsen,Hardback,3,$74.99,20.639999999999993,Lucy Comes Home
103,$32.81,Pénélope Bagieu,Hardcover ,3,$39.99,7.18,Brazen
104,$16.67,Marina Wallace,Paperback,3,$19.99,3.3199999999999967,30-Second Leonardo da Vinci
105,$21.24,Eve Lloyd Knight and Louise Kay Stewart,Hardback,3,$24.99,3.75,Rebel Voices
106,$21.85,Kate Schatz and Miriam Klein Stahl,Hardback,3,$35.99,14.14,Rad Women Worldwide
107,$42.49,Manoah Bowman,Hardback,3,$49.99,7.5,Natalie Wood (Turner Classic Movies)
108,$15.79,Ann Teinaes,Paperback,3,$19.95,4.16,Trump's ABC
109,$47.09,Jeffrey Jenkins and David Sedaris,Hardback,3,$65.0,17.909999999999997,David Sedaris Diaries
110,$16.65,Tom Bissell and Greg Sestero,Paperback,3,$19.99,3.34,The Disaster Artist
111,$16.67,Jane Hawking,,3,$19.99,3.3199999999999967,Travelling To Infinity The True Story Behind The Theory Of Everything
112,$20.15,Jeffrey Toobin,Paperback,3,$24.99,4.84,The People V. O. J. Simpson
113,$43.47,Richard Rogers and Richard Brown,Hardback,3,$59.99,16.520000000000003,A Place for All People
114,$21.24,John Pearson,Paperback,3,$24.99,3.75,All the Money in the World
115,$31.25,Estée Lalonde,Hardcover ,3,$39.99,8.740000000000002,Bloom
116,$39.86,Krista Halverson,Hardback,3,$55.0,15.14,"Shakespeare and Company, Paris: A History of the Rag & Bone Shop of the Heart"
117,$15.68,Gerald Durrell,Paperback,3,$22.99,7.309999999999999,My Family and Other Animals
118,$24.18,Lucky Blue Smith,Paperback / softback,3,$29.99,5.809999999999999,Stay Golden
119,$21.15,Richard East,Paperback,3,$24.99,3.84,Van Cat Meow
120,$44.48,Melinda Williams and Michel Lawrence,Hardback,3,$59.99,15.510000000000005,Remarkable
121,$27.35,Leigh Sales,Paperback,3,$34.99,7.640000000000001,Any Ordinary Day
122,$27.35,Peter FitzSimons,Paperback,3,$35.0,7.649999999999999,Monash's Masterpiece
123,$31.25,James Phelps,Hardback,3,$39.99,8.740000000000002,Australian Heist
124,$31.25,Dylan Alcott,Hardback,3,$39.99,8.740000000000002,Able
125,$24.18,Krissy Kneen,Paperback,3,$29.99,5.809999999999999,Wintering
126,$28.01,Cathy McLennan,Paperback,3,$32.95,4.940000000000001,Saltwater
127,$18.73,Nikki Gemmell,Hardback,3,$31.8,13.07,After
128,$16.65,Grace Halphen,Paperback,3,$19.99,3.34,Letter to My Teenage Self
129,$35.15,Olivia Newton-John,Hardback,3,$45.0,9.850000000000001,Don't Stop Believin'
130,$24.18,Mark Holden,Paperback / softback,3,$29.99,5.809999999999999,My Idol Years
131,$19.54,Helen MacDonald,Paperback,3,$22.99,3.4499999999999993,H Is for Hawk
132,$24.16,Brentley Frazer,Paperback,3,$29.95,5.789999999999999,Scoundrel Days: A Memoir
133,$20.15,Fiona Wright,Paperback,3,$24.99,4.84,Small Acts of Disappearance
134,$24.20,Elspeth Muir,Paperback,3,$29.99,5.789999999999999,"Wasted: A Story of Alcohol, Grief and a Death in Brisbane"
135,$67.96,Tim Benton,Paperback,3,$79.95,11.990000000000009,Le Corbusier Le Grand
136,$25.46,Jacqueline Kent,Hardback,3,$29.95,4.489999999999998,Beyond Words
137,$43.47,"Little White Lies, Adam Nayman and Telegramme Paper Co. Staff",Hardback,3,$60.0,16.53,The Coen Brothers
138,$35.22,Debs Wild and Malcom Croft,Hardback,3,$53.95,18.730000000000004,Life in Technicolor
139,$24.18,Elena Favilli and Francesca Cavallo,Hardback,3,$29.99,5.809999999999999,Good Night Stories for Rebel Girls: 50 Postcards
140,$25.78,Gideon Haigh,Paperback,3,$32.99,7.210000000000001,A Scandal in Bohemia
141,$25.78,Deborah FitzGerald and Sophie Smith,Paperback,3,$32.99,7.210000000000001,Sophie’s Boys
142,$22.09,Steve Wide and Babeth Lafon,Hardback,3,$29.99,7.899999999999999,Grace Jones a to Z
143,$38.24,Megan Massacre,Hardback,3,$44.99,6.75,The Art of Tattoo
